Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,Signal,Angle,X,Y,X SD,Y SD,Precision (nm)
Series 1.tif: x0 y0 w128 h128,1164,64,64,7336.00,0.666544,134.736,1428.25,2179.39,192438,0.00000,64.2942,64.5138,2.54400,2.54400,23.6791
Series 1.tif: x0 y0 w128 h128,1157,64,64,8733.00,0.737102,138.117,666.043,3430.30,91991.7,0.00000,64.1993,64.8723,1.81282,1.81282,24.6412
Series 1.tif: x0 y0 w128 h128,1163,64,64,6762.00,0.618957,134.888,1306.64,2425.58,176250,0.00000,64.1642,65.0315,2.86571,2.86571,28.1237
Series 1.tif: x0 y0 w128 h128,1167,63,64,6839.00,0.742084,136.076,644.757,3120.18,87735.7,0.00000,63.9770,65.0210,1.94487,1.94487,27.1638
Series 1.tif: x0 y0 w128 h128,1168,64,65,6718.00,0.708591,131.990,679.154,2889.48,89641.3,0.00000,64.1687,65.1648,2.04046,2.04046,28.1779
Series 1.tif: x0 y0 w128 h128,1165,63,65,5923.00,0.749342,133.195,922.072,2695.93,122815,0.00000,63.8526,65.0418,2.32127,2.32127,27.2839
Series 1.tif: x0 y0 w128 h128,1166,64,65,6356.00,0.718845,136.334,721.177,3298.30,98320.7,0.00000,64.4134,64.9031,2.11411,2.11411,27.9003
Series 1.tif: x0 y0 w128 h128,1169,63,64,6208.00,0.684208,133.004,537.242,3137.34,71455.3,0.00000,63.9706,64.8154,2.03001,2.03001,31.6930
Series 1.tif: x0 y0 w128 h128,1171,63,64,3401.00,0.435509,112.436,919.040,1846.76,103333,0.00000,63.8225,64.5612,2.90479,2.90479,37.5228
Series 1.tif: x0 y0 w128 h128,1234,64,64,7685.00,0.770586,137.501,614.737,3759.03,84526.8,0.00000,63.9489,64.8216,1.80673,1.80673,25.6780
Series 1.tif: x0 y0 w128 h128,1232,64,64,8808.00,0.776672,140.173,835.508,3489.98,117115,0.00000,64.0351,64.8044,1.96974,1.96974,23.6493
Series 1.tif: x0 y0 w128 h128,1237,64,64,6103.00,0.631170,137.818,1547.85,2151.08,213323,0.00000,64.3623,64.5349,2.77507,2.77507,24.5883
Series 1.tif: x0 y0 w128 h128,1231,64,65,7186.00,0.739900,141.621,2188.07,1880.78,309877,0.00000,64.2098,65.0968,2.85910,2.85910,20.8662
Series 1.tif: x0 y0 w128 h128,1236,64,64,8793.00,0.798137,136.536,637.782,3585.28,87080.1,0.00000,64.3148,64.4544,1.69390,1.69390,23.6386
Series 1.tif: x0 y0 w128 h128,1239,64,64,7273.00,0.698299,135.490,569.877,3584.80,77212.6,0.00000,64.0711,64.5710,1.87198,1.87198,27.9390
Series 1.tif: x0 y0 w128 h128,1243,64,64,5167.00,0.583730,136.403,1097.92,2448.93,149759,0.00000,64.5932,64.6863,2.65144,2.65144,28.2858
Series 1.tif: x0 y0 w128 h128,1235,63,64,7776.00,0.745950,139.504,514.046,3955.43,71711.7,0.00000,63.8494,64.4732,1.68918,1.68918,26.1655
Series 1.tif: x0 y0 w128 h128,1241,64,64,4595.00,0.662349,135.561,986.943,2790.46,133791,0.00000,64.1366,64.7422,2.54197,2.54197,28.7242
Series 1.tif: x0 y0 w128 h128,1242,64,64,6612.00,0.605551,134.107,735.232,3076.87,98599.5,0.00000,64.2679,64.8713,2.16350,2.16350,28.5102
Series 1.tif: x0 y0 w128 h128,1246,64,64,6210.00,0.661025,135.574,908.451,2652.15,123162,0.00000,64.6298,65.0449,2.39900,2.39900,28.2427
Series 1.tif: x0 y0 w128 h128,1248,64,64,5683.00,0.536410,131.605,462.808,3515.00,60907.8,0.00000,64.3721,65.0457,1.89564,1.89564,32.1085
Series 1.tif: x0 y0 w128 h128,1250,64,65,5626.00,0.526239,131.046,1750.45,1414.00,229389,0.00000,64.3994,65.1079,2.75882,2.75882,23.4534
Series 1.tif: x0 y0 w128 h128,1244,64,64,5459.00,0.495170,130.014,1096.68,2700.91,142583,0.00000,64.7052,64.9724,2.81514,2.81514,30.8449
Series 1.tif: x0 y0 w128 h128,1245,63,65,6285.00,0.691844,135.246,1483.14,1959.20,200589,0.00000,64.0015,65.0147,2.82132,2.82132,25.8203
Series 1.tif: x0 y0 w128 h128,1247,64,64,5322.00,0.534680,137.102,643.349,3154.13,88204.2,0.00000,64.1395,64.9109,2.16674,2.16674,30.3811
