Source,Frame,origX,origY,origValue,Error,Noise,SNR,Background,+/-,Signal,+/-,Angle,+/-,X,+/-,Y,+/-,X SD,+/-,Y SD,+/-,Precision (nm)
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,78,45,49,21174,0.701865,19.6321,448.481,200.839,0.0190473,8804.6,1.3934,0,0,-28.86090992,0.00815664,3.595612117,0.00814592,311.34,0.0198753,311.34,0.0198753,9.37595
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,80,45,49,27194,0.649161,19.9798,349.405,226.383,0.0145126,6981.04,0.945682,0,0,-55.73090992,0.00839349,32.51561212,0.00840241,284.682,0.0166117,284.682,0.0166117,9.8994
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,82,45,49,26040,0.704367,20.3315,390.773,207.692,0.017127,7945,1.20026,0,0,-52.11090992,0.00836961,38.79561212,0.00839177,301.267,0.0188127,301.267,0.0188127,9.85153
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,83,45,49,24626,0.677003,19.9148,527.645,196.319,0.0260863,10507.9,2.20746,0,0,-68.91090992,0.00879124,47.22561212,0.00883137,345.639,0.0273388,345.639,0.0273388,9.65851
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,86,45,49,25676,0.687456,19.686,752.843,151.055,0.0416639,14820.5,4.28869,0,0,-59.41090992,0.00880396,44.82561212,0.00886887,395.235,0.0396262,395.235,0.0396262,9.02321
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,88,45,49,30752,0.716132,19.4715,319.267,252.564,0.0110454,6216.59,0.644174,0,0,-27.72090992,0.00773096,44.22561212,0.00773945,259.538,0.0124426,259.538,0.0124426,9.28761
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,90,45,49,28365,0.652379,20.3936,430.992,220.223,0.018866,8789.48,1.38319,0,0,-61.98090992,0.00818205,43.22561212,0.00820908,311.605,0.0198026,311.605,0.0198026,9.60123
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,91,45,49,23666,0.67671,20.4251,513.415,184.156,0.0236383,10486.5,1.90133,0,0,-35.69090992,0.008065,37.43561212,0.00808545,333.696,0.0232709,333.696,0.0232709,9.29767
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,92,45,49,24466,0.771994,20.0878,450.514,219.362,0.0173353,9049.83,1.21644,0,0,-51.38090992,0.00737181,28.95561212,0.0073794,301.721,0.0167274,301.721,0.0167274,8.86527
POM121-mCherry_Impb1_CaDepleted_D1_C3_WY_Mon Mar 11 2024_16.54.45_4.tif: x0 y0 w96 h96,93,45,49,23913,0.687649,19.8242,542.985,170.937,0.0248703,10764.3,2.04621,0,0,-62.14090992,0.00817329,38.63561212,0.00819606,339.112,0.0245325,339.112,0.0245325,9.18548
